,bloom_doy,lag1
811,100,94.0
812,96,100.0
813,91,96.0
814,98,91.0
815,92,98.0
816,99,92.0
817,98,99.0
818,97,98.0
819,95,97.0
820,95,95.0
821,95,95.0
822,99,95.0
823,101,99.0
824,93,101.0
825,94,93.0
826,93,94.0
827,95,93.0
828,99,95.0
829,89,99.0
830,95,89.0
831,92,95.0
832,85,92.0
833,91,85.0
834,84,91.0
835,95,84.0
836,94,95.0
79,77,95.0
80,96,77.0
81,92,96.0
82,92,92.0
83,91,92.0
84,99,91.0
85,89,99.0
86,91,89.0
87,86,91.0
88,91,86.0
89,90,91.0
90,88,90.0
91,80,88.0
92,99,80.0
93,100,99.0
94,100,100.0
95,85,100.0
96,84,85.0
97,95,84.0
98,91,95.0
99,80,91.0
100,87,80.0
101,80,87.0
102,82,80.0
103,77,82.0
104,87,77.0
106,92,94.0
107,89,92.0
108,77,89.0
109,92,77.0
110,92,92.0
111,95,92.0
112,111,95.0
113,94,111.0
114,89,94.0
115,100,89.0
116,98,100.0
117,90,98.0
118,93,90.0
119,107,93.0
120,84,107.0
121,101,84.0
122,97,101.0
123,85,97.0
124,98,85.0
125,86,98.0
126,77,86.0
127,87,77.0
128,85,87.0
129,88,85.0
130,80,88.0
131,86,80.0
1,96,86.0
2,83,96.0
3,93,83.0
