,date,prev_TMAX,TMAX,delta
25,1950-01-26,5.6,22.2,16.6
125,1950-05-06,12.2,27.8,15.600000000000001
386,1951-01-22,13.9,-1.7,15.6
403,1951-02-08,11.1,-4.4,15.5
716,1951-12-18,-6.1,10.0,16.1
1508,1954-02-17,20.6,5.6,15.000000000000002
1893,1955-03-09,1.7,17.8,16.1
1927,1955-04-12,27.8,10.0,17.8
2158,1955-11-29,13.3,-2.2,15.5
2580,1957-01-24,16.7,-2.2,18.9
2615,1957-02-28,16.1,1.1,15.000000000000002
3309,1959-01-23,13.9,-1.7,15.6
3367,1959-03-22,18.9,2.2,16.7
4165,1961-05-28,8.9,25.0,16.1
5207,1964-04-04,22.2,6.7,15.5
6256,1967-02-17,13.9,-1.7,15.6
6302,1967-04-04,25.0,8.9,16.1
7361,1970-02-26,13.3,-3.9,17.2
8049,1972-01-15,16.7,0.0,16.7
8070,1972-02-05,11.1,-5.6,16.7
8754,1973-12-20,-3.9,13.9,17.8
8756,1973-12-22,15.0,-1.1,16.1
8849,1974-03-25,16.7,1.1,15.6
9275,1975-05-25,32.2,16.1,16.1
9890,1977-01-29,6.7,-10.6,17.3
9949,1977-03-29,8.9,25.6,16.700000000000003
9963,1977-04-12,12.8,30.0,17.2
9975,1977-04-24,24.4,8.9,15.499999999999998
10236,1978-01-10,15.0,-5.6,20.6
10253,1978-01-27,14.4,-2.8,17.2
12905,1985-05-02,28.9,13.3,15.599999999999998
13582,1987-03-10,15.6,-2.2,17.8
14032,1988-06-02,33.3,16.7,16.599999999999998
14322,1989-03-19,22.2,6.7,15.5
14681,1990-03-13,10.0,28.3,18.3
14692,1990-03-24,18.9,3.3,15.599999999999998
14968,1990-12-25,17.2,-0.6,17.8
15455,1992-04-25,27.2,11.7,15.5
16087,1994-01-17,-10.0,7.2,17.2
16089,1994-01-19,2.8,-12.8,15.600000000000001
16187,1994-04-27,11.7,27.2,15.5
16530,1995-04-05,20.0,3.3,16.7
16940,1996-05-19,18.3,34.4,16.099999999999998
17888,1998-12-23,17.8,-1.1,18.900000000000002
17910,1999-01-14,10.6,-5.0,15.6
18669,2001-02-11,15.6,-0.6,16.2
18680,2001-02-22,11.1,-4.4,15.5
18726,2001-04-09,7.2,23.3,16.1
18742,2001-04-25,30.6,12.2,18.400000000000002
19464,2003-04-17,30.6,9.4,21.200000000000003
20103,2005-01-15,16.1,1.1,15.000000000000002
20893,2007-03-16,20.6,3.3,17.3
23042,2013-02-01,15.6,0.0,15.6
23382,2014-01-07,11.7,-6.6,18.299999999999997
23496,2014-05-01,9.4,25.0,15.6
23746,2015-01-06,10.0,-5.5,15.5
23892,2015-06-01,30.0,14.4,15.6
24459,2016-12-19,16.1,0.6,15.500000000000002
24485,2017-01-14,17.2,1.1,16.099999999999998
24611,2017-05-20,35.6,20.0,15.600000000000001
24850,2018-01-14,11.7,-4.3,16.0
24957,2018-05-01,11.1,27.8,16.700000000000003
24976,2018-05-20,13.3,28.9,15.599999999999998
25300,2019-04-09,26.1,10.0,16.1
25477,2019-10-03,35.0,19.4,15.600000000000001
25927,2020-12-26,17.2,1.1,16.099999999999998
26352,2022-02-24,20.0,2.2,17.8
26655,2022-12-24,15.0,-8.8,23.8
27454,2025-03-02,18.3,1.1,17.2
27482,2025-03-30,27.8,7.8,20.0
